id;full_name;father_name;job_title;step;education_degree;start_date;end_date;salary;signature
1;whether;deter fooey paper;Future Mobility Developer;noisily illiteracy;yippee encamp supposing;2024-06-03;2024-06-02;29727.77;beyond ick
2;provided hungrily flashy;fixture;Future Infrastructure Planner;google;marvelous muddy;2024-06-03;2024-06-02;3565.91;whether but
3;epoch;stiff whenever lawful;National Marketing Facilitator;form;now owlishly;2024-06-02;2024-06-02;13761.91;fooey utterly phooey
4;modulo;by imprint;Senior Accounts Orchestrator;ew ick;soon sharply;2024-06-02;2024-06-02;20023.78;idolize
5;cameo defiant;post;Direct Infrastructure Architect;warmly aha woot;molder lively round;2024-06-02;2024-06-02;15905.6;vex
6;potentially before;so maunder insure;Legacy Tactics Technician;blaring;if wherever freely;2024-06-02;2024-06-03;18684.39;kind clinking maintain
7;vertigo handball boastfully;happiness destroy;Dynamic Research Developer;if lessen outside;victorious commuter bacterium;2024-06-03;2024-06-03;21316.45;tugboat
8;absent conk;that which plane;Chief Marketing Developer;indeed tone;trustee corny since;2024-06-02;2024-06-02;32500.06;er
9;questioningly unacceptable;yum;Legacy Infrastructure Officer;trinket while why;likely;2024-06-03;2024-06-02;14368.49;after bookcase
10;yoga carload out;beyond;Corporate Operations Officer;yet;before from woot;2024-06-02;2024-06-02;20844.34;excitedly code woefully
